;;;11/10/21;;;11/10/21;;;11/11/21;;;11/11/21;;;11/11/21;;;11/10/21;
;;;;;;;;;;;;;;;;;;;
;;ARANCIO;;;AZZURRA;;;GIALLA;;;MARRONE;;;ROSA;;;VERDE;;
7/16/22;sabato;;;;;;;;;;;;;;;;;;
7/17/22;domenica;;;;;;;;;;;;;;;;;;
7/18/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
7/19/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
7/20/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
7/21/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
7/22/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;VETRO;;;;;;SECCO;
7/23/22;sabato;;;;;;;;;;;;;;;;;;
7/24/22;domenica;;;;;;;;;;;;;;;;;;
7/25/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
7/26/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
7/27/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
7/28/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
7/29/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;;;;SECCO;;;;
7/30/22;sabato;;;;;;;;;;;;;;;;;;
7/31/22;domenica;;;;;;;;;;;;;;;;;;
8/1/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
8/2/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
8/3/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
8/4/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
8/5/22;venerdì;UMIDO;VETRO;;;PLASTICA/LATTINE;;UMIDO;VETRO;;UMIDO;;;;;;;SECCO;
8/6/22;sabato;;;;;;;;;;;;;;;;;;
8/7/22;domenica;;;;;;;;;;;;;;;;;;
8/8/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
8/9/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
8/10/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
8/11/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
8/12/22;venerdì;UMIDO;;;VETRO;CARTA;;UMIDO;;;UMIDO;;;;SECCO;;;;
8/13/22;sabato;;;;;;;;;;;;;;;;;;
8/14/22;domenica;;;;;;;;;;;;;;;;;;
8/15/22;lunedì;;;;;;;;;;;;;;;;;;
8/16/22;martedì;UMIDO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;UMIDO;;;UMIDO;;;UMIDO;;
8/17/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
8/18/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
8/19/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;VETRO;;VETRO;SECCO;
8/20/22;sabato;;;;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;
8/21/22;domenica;;;;;;;;;;;;;;;;;;
8/22/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
8/23/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
8/24/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
8/25/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
8/26/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;VETRO;;;SECCO;;;;
8/27/22;sabato;;;;;;;;;;;;;;;;;;
8/28/22;domenica;;;;;;;;;;;;;;;;;;
8/29/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
8/30/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
8/31/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
9/1/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
9/2/22;venerdì;UMIDO;VETRO;;;PLASTICA/LATTINE;;UMIDO;VETRO;;UMIDO;;;;;;;SECCO;
9/3/22;sabato;;;;;;;;;;;;;;;;;;
9/4/22;domenica;;;;;;;;;;;;;;;;;;
9/5/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
9/6/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
9/7/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
9/8/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
9/9/22;venerdì;UMIDO;;;VETRO;CARTA;;UMIDO;;;UMIDO;;;;SECCO;;;;
9/10/22;sabato;;;;;;;;;;;;;;;;;;
9/11/22;domenica;;;;;;;;;;;;;;;;;;
9/12/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
9/13/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
9/14/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
9/15/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
9/16/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;VETRO;;VETRO ;SECCO;
9/17/22;sabato;;;;;;;;;;;;;;;;;;
9/18/22;domenica;;;;;;;;;;;;;;;;;;
9/19/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
9/20/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
9/21/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
9/22/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
9/23/22;venerdì;UMIDO;;;;CARTA;;UMIDO;;;UMIDO;VETRO;;;SECCO;;;;
9/24/22;sabato;;;;;;;;;;;;;;;;;;
9/25/22;domenica;;;;;;;;;;;;;;;;;;
9/26/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
9/27/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
9/28/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
9/29/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
9/30/22;venerdì;UMIDO;;;;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;;;;SECCO;
10/1/22;sabato;;;;;;;;;;;;;;;;;;
10/2/22;domenica;;;;;;;;;;;;;;;;;;
10/3/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
10/4/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
10/5/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
10/6/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;
10/7/22;venerdì;UMIDO;VETRO;;;CARTA;;UMIDO;VETRO;;UMIDO;;;;SECCO;;;;
10/8/22;sabato;;;;;;;;;;;;;;;;;;
10/9/22;domenica;;;;;;;;;;;;;;;;;;
10/10/22;lunedì;;;;UMIDO;;;;;;SECCO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;
10/11/22;martedì;UMIDO;PLASTICA/LATTINE;;;;;UMIDO;;;UMIDO;;;;;;;;
10/12/22;mercoledì;;;;;;;SECCO;PLASTICA/LATTINE;;;;;;;;;;
10/13/22;giovedì;;;;UMIDO;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;
10/14/22;venerdì;UMIDO;;;VETRO;PLASTICA/LATTINE;;UMIDO;;;UMIDO;;;;;;;SECCO;
10/15/22;sabato;;;;;;;;;;;;;;;;;;
10/16/22;domenica;;;;;;;;;;;;;;;;;;
10/17/22;lunedì;;;;UMIDO;SECCO;;;;;;CARTA;;UMIDO;;;UMIDO;;
10/18/22;martedì;UMIDO;CARTA;;;;;UMIDO;;;UMIDO;;;;;;;;
10/19/22;mercoledì;;SECCO;;;;;;CARTA;;;;;;;;;;
