;;;;;;;;;;;;;
;;MATTINA;;POMERIGGIO;;;;;;MATTINA;;POMERIGGIO;
;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;;;;;;dalle 7.00 alle 11.00;;dalle 16.00 alle 20.00;
5/17/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
5/18/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
5/19/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
5/20/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
5/21/22;sabato;;;;;;;;;;;;
5/22/22;domenica;;;;;;;;;;;;
5/23/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
5/24/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
5/25/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
5/26/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
5/27/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
5/28/22;sabato;;;;;;;;;;;;
5/29/22;domenica;;;;;;;;;;;;
5/30/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
5/31/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
6/1/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
6/2/22;giovedì;;;;;;;;;;;;
6/3/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
6/4/22;sabato;;;;;;;;;;;;
6/5/22;domenica;;;;;;;;;;;;
6/6/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
6/7/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
6/8/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
6/9/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
6/10/22;venerdì;CELESTE;VERDE;VIOLA ;ARANCIONE;;;;;;;;
6/11/22;sabato;;;;;;;;;;;;
6/12/22;domenica;;;;;;;;;;;;
6/13/22;lunedì;BLU;ROSSA;ROSA;GIALLA;;;;;;;;
6/14/22;martedì;VIOLA;ARANCIONE;CELESTE;VERDE;;;;;;;;
6/15/22;mercoledì;MARRONE;BIANCA;;;;;;;;;;
6/16/22;giovedì;ROSA ;GIALLA;BLU;ROSSA;;;;;;;;
