;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;11/11/21;;;11/11/21;;;11/16/21;;;11/15/21;;;11/15/21;;;11/15/21;;;11/16/21;;;11/15/21;;;11/11/21;;;11/15/21;;;11/15/21;;;11/15/21;;;11/15/21;;;11/15/21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/20/22;giovedì;;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;;UMIDO;CARTA;;UMIDO;CARTA NORD;;UMIDO;;;;;;;;;UMIDO;SECCO A;;;PLASTICA/LATTINE B;;UMIDO;CARTA B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/21/22;venerdì;UMIDO;CARTA;;UMIDO;CARTA;;UMIDO;CARTA;;;;;;;;;;;;SECCO SUD;;;;;UMIDO;PLASTICA/LATTINE 2;;UMIDO;SECCO 2;;;;;UMIDO;;;;SECCO B;;UMIDO;PLASTICA/LATTINE B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/22/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/23/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/24/22;lunedì;;;;;;;;;;UMIDO;SECCO A;;UMIDO;SECCO A;;UMIDO;SECCO A;;UMIDO;PLASTICA/LATTINE SUD;;UMIDO;PLASTICA/LATTINE NORD;;;;;;;;UMIDO;;;;SECCO A;;UMIDO;PLASTICA/LATTINE A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/25/22;martedì;UMIDO;SECCO A;;UMIDO;SECCO A;;UMIDO;SECCO A;;;;;;;;;;;;;;;PLASTICA/LATTINE SUD;;UMIDO;CARTA 1;;UMIDO;;;;CARTA A;;UMIDO;;;;;;UMIDO;CARTA A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/26/22;mercoledì;;;;;VETRO;;;VETRO;;;;;;;;;;;;VETRO;;;SECCO NORD;;SECCO 1;;;;PLASTICA/LATTINE;;VETRO A;CARTA B;;;CARTA A;;VETRO B;;;;SECCO A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/27/22;giovedì;;;;;;;;;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE NORD;;UMIDO;;;;;;;;;UMIDO;SECCO B;;;CARTA B;;UMIDO;PLASTICA/LATTINE B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/28/22;venerdì;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;UMIDO;PLASTICA/LATTINE;;;;;;;;;;;;SECCO NORD;;;;;UMIDO;CARTA 2;;UMIDO;SECCO 1;;;;;UMIDO;;;;SECCO A;;UMIDO;CARTA B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/29/22;sabato;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/30/22;domenica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/31/22;lunedì;;;;;;;;;;UMIDO;SECCO B;;UMIDO;SECCO B;;UMIDO;SECCO B;;UMIDO;CARTA SUD;;UMIDO;CARTA NORD;;;;;;;;UMIDO;;;;SECCO B;;UMIDO;CARTA A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/1/22;martedì;UMIDO;SECCO B;;UMIDO;SECCO B;;UMIDO;SECCO B;;;;;;;;;;;;;;;CARTA SUD;;UMIDO;PLASTICA/LATTINE 1;;UMIDO;;;;PLASTICA/LATTINE A;;UMIDO;;;;;;UMIDO;PLASTICA/LATTINE A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/2/22;mercoledì;;;;;;;;;;;VETRO;;;;;;VETRO;;;;;VETRO;SECCO SUD;;SECCO 2;;;;CARTA;;VETRO B;PLASTICA/LATTINE B;;;PLASTICA/LATTINE A;;;;;VETRO A;SECCO B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2/3/22;giovedì;;;;;;;;;;UMIDO;CARTA;;UMIDO;CARTA;;UMIDO;CARTA;;UMIDO;CARTA NORD;;UMIDO;;;;;;;;;UMIDO;SECCO A;;;PLASTICA/LATTINE B;;UMIDO;CARTA B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
